;ALPHA_KS_MATRIX3-2;
Wavelength [nm];Intensity;
763,1146;-0,0011501;
763,3558;-0,001108;
763,5969;-0,0010942;
763,8380;-0,0011177;
764,0791;-0,0011578;
764,3202;-0,001184;
764,5613;-0,0011771;
764,8024;-0,0011459;
765,0435;-0,0011066;
765,2846;-0,001079;
765,5258;-0,0010994;
765,7669;-0,0011658;
766,0080;-0,0012113;
766,2491;-0,0011893;
766,4902;-0,0011358;
766,7313;-0,0011048;
766,9724;-0,001091;
767,2135;-0,001071;
767,4546;-0,0010568;
767,6958;-0,0010737;
767,9369;-0,0011207;
768,1780;-0,0011577;
768,4191;-0,001148;
768,6602;-0,0011053;
768,9013;-0,0010664;
769,1424;-0,0010487;
769,3835;-0,0010385;
769,6246;-0,0010168;
769,8658;-0,0009795;
770,1069;-0,0009278;
770,3480;-0,0008873;
770,5891;-0,000885;
770,8302;-0,0008998;
771,0713;-0,0009166;
771,3124;-0,0009411;
771,5535;-0,0009568;
771,7946;-0,0009559;
772,0358;-0,0009386;
772,2769;-0,000891;
772,5180;-0,0008329;
772,7591;-0,000809;
773,0002;-0,0008168;
773,2413;-0,0008345;
773,4824;-0,0008541;
773,7235;-0,0008655;
773,9646;-0,0008731;
774,2058;-0,0008682;
774,4469;-0,0008207;
774,6880;-0,0007477;
774,9291;-0,0006866;
775,1702;-0,0006521;
775,4113;-0,0006637;
775,6524;-0,0007165;
775,8935;-0,0007496;
776,1346;-0,0007168;
776,3758;-0,0006638;
776,6169;-0,0006498;
776,8580;-0,0006493;
777,0991;-0,0006281;
777,3402;-0,0006062;
777,5813;-0,0006013;
777,8224;-0,0006089;
778,0635;-0,0006152;
778,3046;-0,0006068;
778,5458;-0,0005863;
778,7869;-0,00057;
779,0280;-0,0005522;
779,2691;-0,0005275;
779,5102;-0,0005099;
779,7513;-0,000492;
779,9924;-0,0004739;
780,2335;-0,0004572;
780,4746;-0,0004112;
780,7158;-0,000352;
780,9569;-0,0003419;
781,1980;-0,0003883;
781,4391;-0,0004422;
781,6802;-0,0004513;
781,9213;-0,0003974;
782,1624;-0,0003283;
782,4035;-0,0002909;
782,6446;-0,0002714;
782,8858;-0,0002582;
783,1269;-0,0002568;
783,3680;-0,0002538;
783,6091;-0,0002327;
783,8502;-0,0002015;
784,0913;-0,000187;
784,3324;-0,0001898;
784,5735;-0,0001727;
784,8146;-8,62E-5;
785,0558;0,0001012;
785,2969;0,0003439;
785,5380;0,0004921;
785,7791;0,0004506;
786,0202;0,0003038;
786,2613;0,0001775;
786,5024;0,000117;
786,7435;0,0001001;
786,9846;8,8E-5;
787,2257;7,94E-5;
787,4669;8,35E-5;
787,7080;9,11E-5;
787,9491;0,0001157;
788,1902;0,0001828;
788,4313;0,0002672;
788,6724;0,0003203;
788,9135;0,0003376;
789,1546;0,0003457;
789,3957;0,0003551;
789,6369;0,0003795;
789,8780;0,0004464;
790,1191;0,000538;
790,3602;0,0005834;
790,6013;0,0005591;
790,8424;0,000522;
791,0835;0,0005089;
791,3246;0,0005503;
791,5657;0,0006492;
791,8069;0,0007209;
792,0480;0,0007233;
792,2891;0,0006981;
792,5302;0,0006963;
792,7713;0,000729;
793,0124;0,000782;
793,2535;0,0009096;
793,4946;0,0013974;
793,7357;0,0026838;
793,9769;0,0048947;
794,2180;0,0074706;
794,4591;0,0087833;
794,7002;0,007405;
794,9413;0,00454;
795,1824;0,00248;
795,4235;0,001667;
795,6646;0,0014409;
795,9057;0,0014539;
796,1469;0,0015744;
796,3880;0,001653;
796,6291;0,0016006;
796,8702;0,0014731;
797,1113;0,0013566;
797,3524;0,0012841;
797,5935;0,0012544;
797,8346;0,0012527;
798,0757;0,0012717;
798,3169;0,0013148;
798,5580;0,0013752;
798,7991;0,0014281;
799,0402;0,0014496;
799,2813;0,0014228;
799,5224;0,0013678;
799,7635;0,0013199;
800,0046;0,0012993;
800,2457;0,0013065;
800,4869;0,0012854;
800,7280;0,0012054;
800,9691;0,0011411;
801,2102;0,0011671;
801,4513;0,0012623;
801,6924;0,0013554;
801,9335;0,0014036;
802,1746;0,0014186;
802,4157;0,0014305;
802,6569;0,0014333;
802,8980;0,0014346;
803,1391;0,00147;
803,3802;0,0015227;
803,6213;0,0015608;
803,8624;0,0015852;
804,1035;0,0015836;
804,3446;0,0015515;
804,5857;0,0015151;
804,8269;0,0015003;
805,0680;0,0015324;
805,3091;0,0016226;
805,5502;0,0017293;
805,7913;0,001795;
806,0324;0,0018166;
806,2735;0,0018265;
806,5146;0,0018398;
806,7557;0,0018698;
806,9969;0,0019496;
807,2380;0,0021069;
807,4791;0,0023302;
807,7202;0,0025736;
807,9613;0,0027407;
808,2024;0,0027236;
808,4435;0,0025738;
808,6846;0,0024474;
808,9257;0,002371;
809,1669;0,0022906;
809,4080;0,002214;
809,6491;0,0021709;
809,8902;0,0021526;
810,1313;0,0021346;
