;alpha_KS_Matrix7-3sub;
Wavenumbers [1/cm];Absorbance;
4350,1233;-0,003387166;
4349,8822;-0,003409247;
4349,6411;-0,0034113;
4349,4000;-0,003402966;
4349,1589;-0,003400471;
4348,9177;-0,003407432;
4348,6766;-0,00341644;
4348,4355;-0,003425683;
4348,1944;-0,003405693;
4347,9533;-0,003343181;
4347,7122;-0,003297396;
4347,4711;-0,003336767;
4347,2300;-0,003465461;
4346,9889;-0,003578245;
4346,7477;-0,003549404;
4346,5066;-0,003438626;
4346,2655;-0,003406043;
4346,0244;-0,003458878;
4345,7833;-0,0035097;
4345,5422;-0,003515086;
4345,3011;-0,003464063;
4345,0600;-0,003417254;
4344,8189;-0,003473509;
4344,5777;-0,003609789;
4344,3366;-0,00367075;
4344,0955;-0,003585828;
4343,8544;-0,003479539;
4343,6133;-0,003447898;
4343,3722;-0,003455061;
4343,1311;-0,00348679;
4342,8900;-0,003538906;
4342,6489;-0,003558259;
4342,4077;-0,003543798;
4342,1666;-0,003549802;
4341,9255;-0,003578763;
4341,6844;-0,003603172;
4341,4433;-0,003637146;
4341,2022;-0,003681925;
4340,9611;-0,003697216;
4340,7200;-0,003673434;
4340,4789;-0,003654495;
4340,2377;-0,003645836;
4339,9966;-0,003617886;
4339,7555;-0,003592526;
4339,5144;-0,003587653;
4339,2733;-0,003571801;
4339,0322;-0,003548518;
4338,7911;-0,003548537;
4338,5500;-0,003549284;
4338,3089;-0,003544758;
4338,0677;-0,003580901;
4337,8266;-0,003622158;
4337,5855;-0,003620907;
4337,3444;-0,003658478;
4337,1033;-0,00373867;
4336,8622;-0,00375862;
4336,6211;-0,00375123;
4336,3800;-0,003781323;
4336,1389;-0,003778311;
4335,8978;-0,003697084;
4335,6566;-0,003626701;
4335,4155;-0,003659383;
4335,1744;-0,003717743;
4334,9333;-0,003667282;
4334,6922;-0,003569154;
4334,4511;-0,003545522;
4334,2100;-0,003576743;
4333,9689;-0,003630643;
4333,7278;-0,003684619;
4333,4866;-0,003681902;
4333,2455;-0,003653867;
4333,0044;-0,003673977;
4332,7633;-0,00372654;
4332,5222;-0,003759108;
4332,2811;-0,003758308;
4332,0400;-0,003738951;
4331,7989;-0,003717028;
4331,5578;-0,003722022;
4331,3166;-0,003769835;
4331,0755;-0,003811431;
4330,8344;-0,003785839;
4330,5933;-0,003729246;
4330,3522;-0,003719999;
4330,1111;-0,003759431;
4329,8700;-0,003803276;
4329,6289;-0,003802792;
4329,3878;-0,00372743;
4329,1466;-0,003617837;
4328,9055;-0,003560157;
4328,6644;-0,003584437;
4328,4233;-0,003642446;
4328,1822;-0,003683051;
4327,9411;-0,003697629;
4327,7000;-0,00373236;
4327,4589;-0,003794347;
4327,2178;-0,003830413;
4326,9766;-0,003822847;
4326,7355;-0,003774609;
4326,4944;-0,003721545;
4326,2533;-0,003714113;
4326,0122;-0,003731124;
4325,7711;-0,003737266;
4325,5300;-0,003729743;
4325,2889;-0,00373268;
4325,0478;-0,003761466;
4324,8066;-0,00375432;
4324,5655;-0,003675258;
4324,3244;-0,003625588;
4324,0833;-0,0036743;
4323,8422;-0,003767841;
4323,6011;-0,003842268;
4323,3600;-0,003866349;
4323,1189;-0,003852417;
4322,8778;-0,003835653;
4322,6367;-0,003837666;
4322,3955;-0,003858241;
4322,1544;-0,00387096;
4321,9133;-0,003849537;
4321,6722;-0,003791371;
4321,4311;-0,003744414;
4321,1900;-0,003754701;
4320,9489;-0,003770835;
4320,7078;-0,003733031;
4320,4667;-0,00371016;
4320,2255;-0,003784944;
4319,9844;-0,003876963;
4319,7433;-0,003870975;
4319,5022;-0,003833786;
4319,2611;-0,003865404;
4319,0200;-0,003879718;
4318,7789;-0,003818864;
4318,5378;-0,003787569;
4318,2967;-0,003815468;
4318,0555;-0,003848737;
4317,8144;-0,00387381;
4317,5733;-0,003872272;
4317,3322;-0,003846886;
4317,0911;-0,003851567;
4316,8500;-0,00388752;
4316,6089;-0,003902636;
4316,3678;-0,003903351;
4316,1267;-0,003925269;
4315,8855;-0,003954769;
4315,6444;-0,00393538;
4315,4033;-0,003848745;
